Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
15-501_1	0.0386669565140881	0.354577368280258	0.376443629080317	0.113408461992629	0.116903584132707	0	0	0.793291577621504	0.621914074926453
15-502_1	0.0675830104490158	0.372890015214861	0.297848899050738	0.112516420506304	0.149161654779081	0	0	0.836904344822344	0.561424580836974
15-503_1	0.0483067691823945	0.280255944429596	0.467700019053299	0.0956549687455789	0.108082298589132	0	0	0.824824558808802	0.612478937346557
15-504_1	0.031400571114223	0.33044156533296	0.435266831855919	0.0902134677824128	0.112677563914485	0	0	0.802537511203519	0.618545273566087
12-101_1	0.0601207152081081	0.306001946019606	0.457678604016782	0.084521655704154	0.0916770790513505	0	0	0.794798397560977	0.636579155474634
12-102_1	0.116648572223303	0.338713424452851	0.331484188252859	0.0853998337219046	0.127753981349082	0	0	0.799858797233534	0.614992365772627
12-103_1	0.0501685882796683	0.363458912827501	0.410478644732978	0.0798259690905296	0.096067885069323	0	0	0.771916120463122	0.645103969459869
12-104_1	0.0687650121395352	0.441065046823109	0.305239246445506	0.0610278606572859	0.123902833934563	0	0	0.780904477803121	0.625065902568771
16-201_1	0.100946773134077	0.230852063304497	0.373733460676008	0.103245883577671	0.191221819307747	0	0	0.85471528339585	0.567646614103329
16-202_1	0.132043175262454	0.191732910632753	0.376782894058848	0.0908006485204328	0.208640371525513	0	0	0.869848958547079	0.554130601843473
16-203_1	0.121060073263918	0.126489045324198	0.467724094409548	0.0886551030800894	0.196071683922245	0	0	0.860361789463749	0.590217902399787
16-204_1	0.140153452132268	0.181230743402636	0.371545020875332	0.083621733591213	0.22344904999855	0	0	0.899150850353729	0.515214162893487
16-301_1	0.0518800845119992	0.201540501731127	0.478143310566612	0.0900372885258104	0.178398814664452	0	0	0.860622093651926	0.578359827040798
16-302_1	0.0543328220479481	0.235928645364584	0.466880432869878	0.084504547629242	0.158353552088348	0	0	0.829769862915042	0.605876638582302
