"crank" "SNP" "Non.significant" "Significant" "ratio"
"1" -1 "All" 469818 1281 1
"2" -0.9 "All" 446598 1223 1.00438697398372
"3" -0.8 "All" 423320 1161 1.00593965381582
"4" -0.7 "All" 400081 1109 1.01670948697212
"5" -0.6 "All" 376516 1056 1.02872462476318
"6" -0.5 "All" 352707 1002 1.04202628425739
"7" -0.4 "All" 329372 950 1.05795399249058
"8" -0.3 "All" 306159 875 1.04843449197443
"9" -0.2 "All" 282770 815 1.05737844008129
"10" -0.1 "All" 259455 754 1.06622300324933
"11" 0 "All" 235911 701 1.09024370864401
"12" 0.1 "All" 212232 634 1.0962016837112
"13" 0.2 "All" 188867 567 1.10182644695922
"14" 0.3 "All" 165615 515 1.14136381913373
"15" 0.4 "All" 142381 463 1.1936527865399
"16" 0.5 "All" 119035 387 1.1939024072104
"17" 0.6 "All" 95176 319 1.23137370832858
"18" 0.7 "All" 71598 243 1.24806295110856
"19" 0.8 "All" 47676 171 1.32096021175741
"20" 0.9 "All" 23922 92 1.42306729121132
