"crank" "SNP" "Non.significant" "Significant" "ratio"
"1" -1 "X" 404 23 1
"2" -0.9 "X" 394 23 1.02392344497608
"3" -0.8 "X" 386 23 1.04390243902439
"4" -0.7 "X" 378 23 1.06467661691542
"5" -0.6 "X" 361 23 1.11168831168831
"6" -0.5 "X" 353 22 1.09086879432624
"7" -0.4 "X" 342 22 1.12374429223744
"8" -0.3 "X" 325 22 1.1786398467433
"9" -0.2 "X" 309 22 1.23544176706827
"10" -0.1 "X" 289 21 1.2615219721329
"11" 0 "X" 278 21 1.30777777777778
"12" 0.1 "X" 256 21 1.41127098321343
"13" 0.2 "X" 236 20 1.45719844357977
"14" 0.3 "X" 212 20 1.60729613733906
"15" 0.4 "X" 198 19 1.63608562691132
"16" 0.5 "X" 169 17 1.71657754010695
"17" 0.6 "X" 140 17 2.03164556962025
"18" 0.7 "X" 116 14 2.04198473282443
"19" 0.8 "X" 85 13 2.52188552188552
"20" 0.9 "X" 45 9 3.24242424242424
